"id","batch_id","early_stage","midcourse_stage","preexam_stage","created_at","updated_at","student_id"
"1","CC Batch 1","EARLY STAGE

What will go wrong
* Confidence will drop in Quant if basic topics are skipped continuously.
* Inability to apply formulas will cause errors in interest and proportion problems.
* Idiom and phrase knowledge gaps will persist without targeted vocabulary work.

What exactly to fix
* Master percentages and number systems for quick problem solving.
* Practice compound interest and ratio problems with varied time scales.
* Build idiom knowledge via contextual exercises to improve verbal accuracy.

SUP Score (Score Uplift Potential): 62 / 100
* Focus zone is larger than steady; needs balancing.
* Correcting quant fundamentals will boost the score.","MID-COURSE STAGE

What will go wrong
* Recurring errors in linear/quadratic equations will persist due to formula application issues.
* Reading comprehension will suffer from misinterpretations and rushed answers under time pressure.
* Simple/compound interest errors will continue due to incorrect formula application and calculation mistakes.

What exactly to fix
* Master linear/quadratic equations by reviewing core concepts and practicing option selection.
* Enhance reading comprehension by rereading passages to grasp central ideas accurately.
* Practice compound interest calculations to apply formulas correctly in varied scenarios.

SUP Score (Score Uplift Potential): 58 / 100
* Focus zone reduction is limited; steady zones need strengthening.
* Conversions are inconsistent, indicating the need for consistent topic mastery.
","PRE-EXAM STAGE

What will go wrong
* Linear/quadratic equations, permutations/combinations remain unstable under pressure.
* Reading comprehension inference and identifying author's tone will cause errors.
* Grammar errors in sentence correction and idiom usage will persist.

What exactly to fix
* Drill linear/quadratic equations, permutations/combinations under timed conditions.
* Practice RC with emphasis on tone; review common grammatical errors, idioms.
* Focus on quickly identifying the series pattern in progression problems.

SUP Score (Score Uplift Potential): 52 / 100
* Sizeable focus zone indicates volatility.
* Requires disciplined execution for upside.
","2025-12-18 20:40:20.398059+05:30","2025-12-18 20:40:20.398059+05:30","10"
"2","CC Batch 1","EARLY STAGE

What will go wrong
* Permutations/Combinations errors will persist due to formula misuse and misinterpretation.
* Time, Speed, and Distance problems will be incorrectly solved due to inaccurate formula application.
* Reading Comprehension inferences will remain flawed due to inefficient reading habits.

What exactly to fix
* Drill diverse Permutations/Combinations problems with varied constraints and formula applications.
* Review Time, Speed, and Distance, emphasizing relative speed and formula variations.
* Practice targeted Reading Comprehension to improve inference accuracy in lengthy sentences.

SUP Score (Score Uplift Potential): 62 / 100
* Focus Zone is larger than Steady, indicating need for focused improvement.
* Some topics show promise, but require more stabilization for consistent performance.
","MID-COURSE STAGE

What will go wrong
* Permutations/Combinations errors will persist without focused practice.
* Reading Comprehension accuracy will suffer due to rushed inferences.
* Number System gaps will hinder problem-solving efficiency.

What exactly to fix
* Master combinatorial formulas and differentiate arrangements/selections.
* Practice inferential reading; improve speed, context grasp.
* Reinforce divisibility rules and number properties comprehensively.

SUP Score (Score Uplift Potential): 68 / 100
* Early gains stalled; moderate focus conversion.
* Persistent Focus areas limit further score growth.
","PRE-EXAM STAGE

What will go wrong
* Permutations/Combinations: Formula application errors will persist under pressure.
* Number Systems: Inefficient methods and conceptual gaps will cause errors.
* Reading Comprehension: Superficial reading hinders inference accuracy and wastes time.

What exactly to fix
* Permutations/Combinations: Master basic problems and formula selection rigorously.
* Number Systems: Reinforce divisibility rules and properties with timed drills.
* Reading Comprehension: Summarize passages to improve context and implied meaning.

SUP Score (Score Uplift Potential): 48 / 100
* Large focus zone indicates significant, but volatile, areas for improvement.
* Discipline is key to convert practice into exam performance gains.
","2025-12-18 20:50:46.331218+05:30","2025-12-18 20:50:46.331218+05:30","15"
"3","CC Batch 1","EARLY STAGE

What will go wrong
* RC skills will keep declining without intervention.
* Para jumbles will continue to be a problem.
* Percentage application and idioms will remain weak.

What exactly to fix
* Active RC practice, focus on intended meaning.
* Transition words drill for para jumbles.
* Real-world percentage problems, idiom memorization.

SUP Score (Score Uplift Potential): 62 / 100
* Mixed discipline but RC is regressing.
* Fix the jumbles for a quick uplift.","MID-COURSE STAGE

What will go wrong
* Number System and Reading Comprehension struggles may persist without intervention.
* Inconsistent equation-solving hinders Quantitative Aptitude performance overall.
* Para Jumble difficulties impact Verbal Ability scores due to sequencing issues.

What exactly to fix
* Deep dive into number system properties and theorems.
* Practice equation substitutions for speed and accuracy.
* Focus on transitional words for Para Jumble coherence.

SUP Score (Score Uplift Potential): 58 / 100
* Score reflects potential gains from addressing recurrent Focus Zone topics.
* Inconsistent progress limits SUP; steady performance needed for higher gains.
","PRE-EXAM STAGE

What will go wrong
* Number System and Para Jumble remain chronic weaknesses across multiple exams.
* Permutations/Combinations falters under exam pressure, leading to incorrect formula use.
* Reading Comprehension suffers from rushed reading and misinterpreted questions.

What exactly to fix
* Drill Number System properties; focus on efficient problem-solving methods.
* Practice varied Permutations/Combinations problems for method selection.
* Deliberate Reading Comprehension and precise contextual inferencing are critical.

SUP Score (Score Uplift Potential): 48 / 100
* Focus Zone size indicates volatility and need for disciplined execution.
* Score reflects potential for improvement with targeted last-mile revisions.
","2025-12-18 20:51:37.441567+05:30","2025-12-18 20:51:37.441567+05:30","22"
"4","CC Batch 1","EARLY STAGE

What will go wrong
* Time management will suffer due to slow formula recall under pressure.
* Grammatical errors will persist without consistent focus on sentence structure.
* Para jumbles will remain weak due to poor logical sequencing.

What exactly to fix
* Review profit/loss, matrices, derivatives, and time/speed formulas.
* Target pronoun case, verb tense, and sentence structure errors specifically.
* Master thematic links to improve paragraph flow in jumbles.

SUP Score (Score Uplift Potential): 62 / 100
* Focus zone is larger than steady; inconsistent discipline is a barrier.
* Early corrections are fragile; need reinforcement to stabilize concepts.
","MID-COURSE STAGE

What will go wrong
* Persistent errors in Time, Speed, Distance indicate foundational gaps.
* Recurring Para Jumble struggles will hinder overall verbal scores.
* Inconsistent application of interest formulas lowers quantitative accuracy.

What exactly to fix
* Review TSD concepts, focusing on equation setup and visualization.
* Practice Para Jumbles with emphasis on logical connectors and themes.
* Differentiate simple vs. compound interest with formula application drills.

SUP Score (Score Uplift Potential): 58 / 100
* Number system consistency balances setbacks in other quant areas.
* Verbal struggles limit potential; focused grammar work is essential.
","PRE-EXAM STAGE

What will go wrong
*   Para Jumble: Persistent struggle suggests likely continued difficulty in exam.
*   Simple/Compound Interest & Calculus: Recent errors show concepts are unstable.
*   Vocabulary & Number System: Recurring errors impact overall accuracy.

What exactly to fix
*   Para Jumble: Master transition words and logical connectors.
*   Interest/Calculus: Targeted drills on formula application and concept clarity.
*   Vocabulary: Flashcards and contextual exercises for retention.

SUP Score (Score Uplift Potential): 58 / 100
*   Volatile areas require disciplined execution to improve scores.
*   Steady zones offer a solid base if focus areas are addressed.
","2025-12-18 20:52:00.004623+05:30","2025-12-18 20:52:00.004623+05:30","26"
"5","CC Batch 1","EARLY STAGE

What will go wrong
* Misinterpreting question constraints in Permutations and Combinations will persist.
* Number System errors will continue due to rushed approaches under time pressure.
* Geometry and phrasal verb application will remain weak without targeted practice.

What exactly to fix
* Prioritize Geometry theorems and Number System properties immediately.
* Drill similar Permutation questions, emphasizing constraint identification.
* Consolidate phrasal verbs and sentence correction through focused exercises.

SUP Score (Score Uplift Potential): 68 / 100
* Steady Zone shows potential in basic concepts.
* Requires focused effort to stabilize fragile corrections.
","MID-COURSE STAGE

What will go wrong
* Number system and permutation errors will persist without focused intervention.
* Reading comprehension weaknesses will limit verbal scores under exam pressure.
* Skipping questions from lack of confidence leads to guaranteed zero scores.

What exactly to fix
* Drill number properties and combinatorial problem-solving techniques.
* Practice inference-based questions; find textual support explicitly.
* Prioritize attempting all questions, even if it requires educated guessing.

SUP Score (Score Uplift Potential): 65 / 100
* Gaps in core quant topics limit the score; need targeted practice.
* Improving verbal skills and time management can boost overall performance.
","PRE-EXAM STAGE

What will go wrong
* Permutations/Combinations: Formula confusion persists under pressure.
* Linear/Quadratic Equations: Difficulty forming equations from word problems.
* Reading Comprehension: Struggles with inference and evidence.

What exactly to fix
* P/C: Differentiate scenarios; practice under time constraints.
* Equations: Word problem drills; focus on setup, not calculation.
* RC: Evidence-based answers; summarize paragraphs before questions.

SUP Score (Score Uplift Potential): 48 / 100
* Volatile; success depends on exam-day discipline.
* Requires high focus on error prevention now.
","2025-12-18 20:52:54.66472+05:30","2025-12-18 20:52:54.66472+05:30","72"
"6","CC Batch 1","EARLY STAGE

What will go wrong
* Permutation/Combination errors will persist due to formula confusion and misapplication.
* Number System concepts will remain shaky, impacting problem-solving accuracy.
* Reading Comprehension scores will suffer from misinterpreting passages and inferences.

What exactly to fix
* Practice differentiating permutations/combinations with targeted keyword identification exercises.
* Strengthen number property applications with formula-focused problem sets.
* Active reading exercises to grasp themes, author viewpoints, and contextual details.

SUP Score (Score Uplift Potential): 58 / 100
* Focus Zone is larger than Steady Zone, showing mixed discipline required.
* Recurrent errors in key quant topics limit potential without targeted fixes.
","MID-COURSE STAGE

What will go wrong
* Permutations & Combinations errors will persist due to formula confusion.
* Number System weaknesses will cause time wastage without correct answers.
* Reading Comprehension misinterpretations will continue impacting accuracy.

What exactly to fix
* Drill P&C problem types, focusing on correct formula application.
* Practice number property applications to improve speed and accuracy.
* Active reading strategies: identify main ideas and author's intent.

SUP Score (Score Uplift Potential): 58 / 100
* Focus area size is flat, limiting potential gains.
* Steady zones show good stability, balancing the score.
","PRE-EXAM STAGE

What will go wrong
* Permutations and Combinations: Incorrect application will lead to wrong answers.
* Number System: Conceptual gaps and slow problem-solving will waste time.
* Reading Comprehension: Misinterpreting author's intent will impact accuracy.

What exactly to fix
* P&C: Practice diverse problems; focus on formula application/selection.
* Number System: Review concepts; practice quick techniques for efficiency.
* RC: Active reading; understand tone and identify main ideas actively.

SUP Score (Score Uplift Potential): 48 / 100
* Final Focus Zone is large indicating a need for disciplined execution.
* Low stability requires focused damage control in key areas.
","2025-12-18 20:53:37.93644+05:30","2025-12-18 20:53:37.93644+05:30","78"
"7","CC Batch 1","EARLY STAGE

What will go wrong
* Incorrect application of formulas will persist in Quant.
* Grammar errors and contextual misinterpretations will reduce Verbal scores.
* Time management issues will continue to impact accuracy.

What exactly to fix
* Practice applying Quant formulas under timed conditions.
* Build vocabulary and contextual analysis for Verbal.
* Focus on time-bound practice for all question types.

SUP Score (Score Uplift Potential): 58 / 100
* Focus Zone is larger than Steady Zone, limiting the score.
* High repetition shows need for fundamentals boost.
","MID-COURSE STAGE

What will go wrong
* Persistent errors in Number System and Para Jumbles will drag scores down.
* Equation and Probability struggles hinder Quant; idiom/vocab gaps hurt Verbal scores.
* Time mismanagement and formula confusion will persist under exam pressure.

What exactly to fix
* Deep-dive Number System properties; master quick calculation methods now.
* Sharpen Para Jumbles: topic sentences, logical connectors, quick sequencing.
* Drill equations, probability formulas; expand vocab, idioms in context.

SUP Score (Score Uplift Potential): 62 / 100
* Moderate conversion shows potential, but consistency is still a problem.
* Fixing focus areas can lead to meaningful score gains by the end.
","PRE-EXAM STAGE

What will go wrong
*  Trigonometry, Permutations/Combinations persist, indicating weak quant foundation.
*  RC inference and vocab gaps cause errors under pressure impacting accuracy.
*  Equation errors, number system confusion risk easy question slippage.

What exactly to fix
*  Drill trigonometry identities, P&C formulas; timed practice is critical.
*  Targeted vocab building, focus on context in RC passages now.
*  Revise equation properties, number system rules to avoid basic errors.

SUP Score (Score Uplift Potential): 48 / 100
*  Fixing basics can prevent critical easy-question losses.
*  Volatile score; needs disciplined review, error prevention.
","2025-12-18 20:55:11.133273+05:30","2025-12-18 20:55:11.133273+05:30","135"
"8","CC Batch 1","EARLY STAGE

What will go wrong
* Skipping questions will persist due to unfamiliarity.
* Lack of fundamental knowledge will hinder problem-solving.
* Image-based questions will continue to be a challenge.

What exactly to fix
* Review ratio/proportion, logarithms, matrices, and progressions.
* Practice diverse and image-based problems for each topic.
* Build confidence by attempting all question types.

SUP Score (Score Uplift Potential): 15 / 100
* Focus Zone dominates; fundamentals are very unstable.
* High topic repetition indicates a lack of foundational knowledge.
","MID-COURSE STAGE

What will go wrong
* Consistent skipping indicates persistent knowledge gaps and lack of confidence.
* Image-based question avoidance leads to missed opportunities and score stagnation.
* Unaddressed foundational weaknesses will hinder progress in advanced topics.

What exactly to fix
* Prioritize image-based question practice across all quantitative topics.
* Revisit and strengthen fundamentals in ratios, proportions, and logarithms.
* Build confidence by consistently solving diverse problems in focus areas.

SUP Score (Score Uplift Potential): 25 / 100
* Low SUP due to zero conversion of focus areas into steady zones.
* Persistent skipping habits indicate a significant need for targeted intervention.
","PRE-EXAM STAGE

What will go wrong
* Consistently skips questions on Logarithms and Progressions.
* Struggles with image-based Quantitative Aptitude problems across topics.
* Reading Comprehension speed impacts overall performance negatively.

What exactly to fix
* Practice image-based problems in all Quant topics urgently.
* Review logarithm properties and progression formulas.
* Dedicate extra time to Reading Comprehension passages.

SUP Score (Score Uplift Potential): 25 / 100
* Many topics still in the Focus Zone; significant knowledge gaps exist.
* Success depends on damage control; focus on easy wins only.
","2025-12-18 20:55:30.364351+05:30","2025-12-18 20:55:30.364351+05:30","152"
"9","CC Batch 1","EARLY STAGE

What will go wrong
* Number System errors will persist due to weak fundamentals.
* Permutation/Combination mix-ups will cause more incorrect attempts.
* Vocabulary gaps will hinder Reading Comprehension performance.

What exactly to fix
* Review Number System rules; practice basic operations precisely.
* Practice Permutation/Combination formulas; focus on question requirements.
* Build vocabulary with flashcards; understand usage with context clues.

SUP Score (Score Uplift Potential): 62 / 100
* Mixed discipline due to notable focus area issues.
* Steady zones offer chances to lift scores if built upon.
","MID-COURSE STAGE

What will go wrong
* Persistent struggles in Number System and Equations will hinder overall Quantitative Aptitude performance.
* Poor vocabulary and logical reasoning impact Verbal Ability, especially Para Jumbles and Sentence Correction.
* Unattempted questions and time mismanagement will lead to low scores and missed opportunities.

What exactly to fix
* Master Number System concepts and Linear/Quadratic Equations; prioritize problem-solving techniques.
* Build vocabulary, practice contextual usage, and improve logical connections for Verbal Ability.
* Focus on time management and attempt all questions, starting with strengths.

SUP Score (Score Uplift Potential): 65 / 100
* Moderate conversion rate from focus to steady zones, suggesting potential for score improvement.
* Addressing key weak areas can significantly uplift performance; steady zones provide a base.
","PRE-EXAM STAGE

What will go wrong
* Number System & Linear/Quadratic Equations remain chronically weak.
* Pressure leads to errors in Logarithms and Para Jumble questions.
* Neglecting fundamental principles will cause score leakage.

What exactly to fix
* Drill Number System properties and equation-solving techniques.
* Practice Logarithms, focusing on error-free application of identities.
* Master Para Jumbles: connectors, keywords, logical sentence order.

SUP Score (Score Uplift Potential): 35 / 100
* Large Focus Zone & inconsistent performance limits potential.
* Steady Zones exist, but require focused damage control.
","2025-12-18 20:55:55.158161+05:30","2025-12-18 20:55:55.158161+05:30","172"
"10","CC Batch 1","EARLY STAGE

What will go wrong
* Foundational gaps in Calculus will keep impacting accuracy.
* Number system and averages may cause basic calculation errors.
* Logarithmic properties will be misapplied without focused revision.

What exactly to fix
* Strengthen fundamental theorems, practice diverse Calculus problems.
* Focused review of average formulas and their accurate application.
* Revise logarithmic identities and practice problem-solving techniques.

SUP Score (Score Uplift Potential): 55 / 100
* Focus Zone is larger, indicating many topics need attention.
* Early gains in Partnership and Relations & Functions are promising.
","MID-COURSE STAGE

What will go wrong
* Logarithms and Permutations/Combinations are persistent weaknesses, hindering overall score.
* Simple/Compound Interest and Time/Work concepts will cause further score decline.
* Inconsistent application of formulas will lead to calculation errors and incorrect answers.

What exactly to fix
* Deep dive into Logarithm properties and problem-solving techniques immediately.
* Practice diverse Permutations/Combinations problems, emphasizing case distinctions.
* Master interest rate formulas and time/work equivalency for efficient problem-solving.

SUP Score (Score Uplift Potential): 58 / 100
* Recurring Focus Zones limit potential; Steady Zones are too few.
* Targeted practice can convert Focus Zones, boosting the overall score.
","PRE-EXAM STAGE

What will go wrong
* Number System, Permutations & Combinations, Logarithms show persistent weakness.
* Pressure may worsen errors in Simple/Compound Interest, Progressions.
* Sentence Correction and Paragraph Completion signal Verbal Ability risk.

What exactly to fix
* Drill Number System properties; emphasize HCF/LCM applications.
* Refine P&C case distinctions; practice constraint-based problems.
* Master simple/compound interest formulas; clarify progression types.

SUP Score (Score Uplift Potential): 35 / 100
* Large Focus Zone indicates significant unresolved conceptual gaps.
* Requires damage control; limited time makes full recovery unlikely.
","2025-12-18 20:56:17.697491+05:30","2025-12-18 20:56:17.697491+05:30","176"
"11","CC Batch 1","EARLY STAGE

What will go wrong
* Permutations/Combinations concepts will remain weak without targeted practice on constraints.
* Profit/Loss errors will persist due to confusion between cost and selling price concepts.
* RC scores will suffer from misinterpreting author's intent and rushing comprehension.

What exactly to fix
* Practice constraint-based Permutations/Combinations; identify key conditions in word problems.
* Clarify Profit/Loss: practice problems distinguishing cost and selling price calculations.
* Enhance RC: actively read for author's intent and context, slowing down to improve comprehension.

SUP Score (Score Uplift Potential): 62 / 100
* Focus Zone size is moderate, but Steady Zone shows potential for solidifying concepts.
* Score reflects mixed discipline; consistent effort can elevate key areas for improvement.
","MID-COURSE STAGE

What will go wrong
* Permutations/Combinations & Number Systems remain weak, causing persistent errors.
* Rushed attempts and formula confusion may lead to calculation mistakes.
* Weaker vocabulary hampers Reading Comprehension and Verbal Ability scores.

What exactly to fix
* Drill diverse Permutations/Combinations word problems, emphasizing constraint identification.
* Review Number System properties; focus on HCF/LCM application.
* Build vocabulary through contextual usage, targeting nuanced meanings.

SUP Score (Score Uplift Potential): 68 / 100
* Number System & Vocab show some progress, boosting potential moderately.
* Consistent effort needed to convert focus areas and ensure steady performance.
","PRE-EXAM STAGE

What will go wrong
*   Permutations/combinations will cause errors due to formula confusion.
*   Number system errors from misapplication & weak foundations will persist.
*   RC misinterpretations, vocabulary gaps & grammar errors will lower verbal scores.

What exactly to fix
*   Drill permutations/combinations with constraint-based problems, step-by-step solutions.
*   Review number system fundamentals; focus on HCF/LCM and divisibility rules.
*   Targeted vocabulary building & grammar exercises; practice active reading skills.

SUP Score (Score Uplift Potential): 52 / 100
*   Sizeable focus zones need attention for score uplift.
*   Steady zones are unstable, so discipline is critical.
","2025-12-18 20:56:36.514214+05:30","2025-12-18 20:56:36.514214+05:30","189"
"12","CC Batch 1","EARLY STAGE

What will go wrong
* Number System concepts will cause errors and skipped questions.
* Time, Speed, and Distance concepts will be incorrectly applied again.
* Interest calculation will be a persistent problem if not addressed.

What exactly to fix
* Strengthen Number System properties and diverse problem-solving techniques.
* Review Time, Speed, and Distance formulas and their conceptual application.
* Practice interest calculation formulas with varied scenarios.

SUP Score (Score Uplift Potential): 62 / 100
* SUP is moderate due to mixed performance across topics.
* Stabilizing Number System and Time/Work will boost the score.
","MID-COURSE STAGE

What will go wrong
* Number System concepts remain weak, leading to continued errors and skipped questions.
* Time management issues persist, causing rushed answers and incorrect selections.
* Inability to apply formulas in Time, Speed, Distance, and Geometry will hurt scores.

What exactly to fix
* Drill Number System properties; focus on question identification.
* Practice formula application in Time, Speed, and Distance problems.
* Review geometric theorems and visualization techniques for quick problem-solving.

SUP Score (Score Uplift Potential): 58 / 100
* Some topics converted to Steady, but Focus area remains significant; moderate uplift.
* Inconsistent performance indicates potential for improvement with targeted effort.
","PRE-EXAM STAGE

What will go wrong
* Number System concepts will cause errors due to weak application and properties.
* Permutations and Combinations errors will persist from incorrect formula application.
* Time management issues will lead to rushed attempts and incorrect answer selection.

What exactly to fix
* Revise number system properties; focus on divisibility rules and factor applications.
* Practice permutations and combinations problems, emphasizing formula selection.
* Simulate exam conditions to improve time allocation and reduce rushed errors.

SUP Score (Score Uplift Potential): 48 / 100
* Significant focus area indicates volatility and need for disciplined execution.
* Unstable core concept performance limits realistic score improvement potential.
","2025-12-18 20:56:55.602703+05:30","2025-12-18 20:56:55.602703+05:30","198"
"13","CC Batch 1","EARLY STAGE

What will go wrong
* Number system errors will persist without focused practice on properties.
* Permutation/combination struggles will continue due to formula application issues.
* Binomial theorem concepts will remain unclear without dedicated study.

What exactly to fix
* Drill number system properties with varied problems to solidify understanding.
* Emphasize distinguishing permutation/combination scenarios; practice formula selection.
* Systematically study binomial theorem principles; solve basic to advanced problems.

SUP Score (Score Uplift Potential): 68 / 100
* Sizeable focus zone indicates mixed discipline, needs targeted interventions.
* Early stage allows correction and momentum toward higher performance stability.
","MID-COURSE STAGE

What will go wrong
* Permutations/Combinations & Number Systems consistently struggle, impacting overall Quant score.
* Time management issues and formula misapplication lead to incorrect answers under pressure.
* Continued difficulty in Reading Comprehension will pull down Verbal Ability scores.

What exactly to fix
* Drill Permutations/Combinations: focus on method selection and application.
* Deep-dive Number System: revisit core concepts, solve diverse problems.
* Sharpen RC inference skills; differentiate facts from implied meanings.

SUP Score (Score Uplift Potential): 58 / 100
* Moderate conversion rate limits potential; steady zones need reinforcement.
* Focus zone persists, indicating a need for targeted, deeper intervention.
","PRE-EXAM STAGE

What will go wrong
* Number System, Permutations & Combinations, Time, Speed & Distance are chronic failure zones.
* Logarithms, Matrices, Simple/Compound Interest unstable under pressure; prone to errors.
* Expect errors in formula application and misinterpreting question conditions in key areas.

What exactly to fix
* Drill Number System properties and diverse P&C problem types immediately.
* Review Logarithm properties; practice application with varied complexity problems.
* Master time-bound application of Simple/Compound Interest formulas; focus on accuracy.

SUP Score (Score Uplift Potential): 48 / 100
* Multiple topics need fixing; success requires intense, disciplined effort.
* Some steady zones exist, but focus areas are critically impacting overall score.
","2025-12-18 20:57:13.391022+05:30","2025-12-18 20:57:13.391022+05:30","209"
